"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"197",100,0.845381,0.585799,0.703789,0.639406
"198",100,0.783987,0.46746,0.780156,0.539302
"199",100,0.687941,0.704979,0.657787,0.730336
"200",100,0.710895,0.72433,0.635359,0.369188
"201",100,0.629348,0.480122,0.559561,0.430082
"202",100,0.579802,0.403382,0.625196,0.54475
"203",100,0.467006,0.532925,0.752162,0.749628
"204",100,0.435254,0.568787,0.67113,0.564885
"205",100,0.727893,0.572357,0.582633,0.726017
"206",100,0.741375,0.59348,0.830921,0.534805
"207",100,0.453159,0.584415,0.654555,0.666884
"208",100,0.491481,0.512721,0.517397,0.658087
"209",100,0.561464,0.634491,0.798729,0.49793
"210",100,0.61027,0.651007,0.521807,0.408738
"211",100,0.539227,0.596281,0.623292,0.68223
"212",100,0.543408,0.620779,0.798034,0.637582
"213",100,0.530917,0.577454,0.649897,0.730581
"214",100,0.442156,0.584552,0.53673,0.460751
"215",100,0.416087,0.556121,0.599205,0.39217
"216",100,0.752588,0.526329,0.462441,0.634996
"217",100,0.718993,0.617817,0.626315,0.534453
"218",100,0.536122,0.563173,0.690419,0.492597
"219",100,0.426484,0.647033,0.721507,0.662747
"220",100,0.650157,0.622345,0.600338,0.559961
"221",100,0.724113,0.639173,0.57958,0.628616
"222",100,0.472107,0.453804,0.571088,0.570085
"223",100,0.476638,0.485423,0.61548,0.499822
"224",100,0.398979,0.41438,0.741462,0.56034
"225",100,0.483625,0.494987,0.693933,0.646325
"226",100,0.77684,0.631695,0.710658,0.723894
"227",100,0.762727,0.650351,0.603877,0.501361
"228",100,0.782741,0.782719,0.601303,0.745331
"229",100,0.689681,0.542832,0.722942,0.669623
"230",100,0.678789,0.525043,0.58652,0.728157
"231",100,0.710956,0.618598,0.528716,0.64563
"232",100,0.745846,0.603029,0.725823,0.819456
"233",100,0.676208,0.637428,0.622239,0.614045
"234",100,0.762742,0.662353,0.572076,0.74027
"235",100,0.667575,0.739705,0.555705,0.644394
"236",100,0.489615,0.725117,0.468823,0.386053
"237",100,0.774796,0.581369,0.76148,0.618481
"238",100,0.781464,0.594286,0.31933,0.525676
"239",100,0.858858,0.604348,0.475848,0.529572
"240",100,0.85068,0.613865,0.463417,0.669171
"241",100,0.771641,0.555415,0.802938,0.589588
"242",100,0.60267,0.758604,0.774276,0.466181
"243",100,0.690379,0.460331,0.678239,0.737387
"244",100,0.62494,0.580235,0.819787,0.733993
"245",100,0.709435,0.538948,0.716821,0.751465
"246",100,0.748474,0.50976,0.716685,0.669189
"247",100,0.616525,0.754168,0.563234,0.611937
"248",100,0.582411,0.863801,0.504045,0.621765
"249",100,0.436607,0.83711,0.623136,0.579346
"250",100,0.802995,0.434269,0.607021,0.606582
"251",100,0.775509,0.482149,0.638984,0.679017
"252",100,0.529728,0.597854,0.735231,0.547667
"253",100,0.535424,0.675775,0.723322,0.449528
"254",100,0.744751,0.691669,0.602941,0.681461
"255",100,0.414703,0.605946,0.469824,0.458272
"256",100,0.515239,0.597102,0.749817,0.529201
"257",100,0.64877,0.519151,0.720547,0.753324
"258",100,0.715369,0.665371,0.591169,0.537268
"259",100,0.786918,0.628099,0.753836,0.639898
"260",100,0.646046,0.404546,0.665168,0.747146
"261",100,0.634842,0.380994,0.684408,0.555802
"262",100,0.635999,0.380573,0.64566,0.580045
"263",100,0.659183,0.43162,0.664706,0.83483
"264",100,0.425527,0.501473,0.591991,0.634429
"265",100,0.440503,0.495838,0.604289,0.498001
"266",100,0.649279,0.496873,0.747087,0.603839
"267",100,0.516034,0.537257,0.484057,0.666153
"268",100,0.726911,0.51766,0.607158,0.672927
"269",100,0.735619,0.467634,0.592978,0.734625
"270",100,0.655619,0.524201,0.717678,0.519717
"271",100,0.690288,0.50342,0.689239,0.698224
"272",100,0.595288,0.603843,0.390308,0.66717
"273",100,0.605118,0.561294,0.767492,0.661324
"274",100,0.576456,0.792235,0.407679,0.592938
"275",100,0.562382,0.706282,0.481679,0.673279
"276",100,0.732791,0.532359,0.706496,0.41106
"277",100,0.684883,0.482779,0.422316,0.697587
"278",100,0.599525,0.694056,0.788159,0.688959
"279",100,0.619917,0.701502,0.837293,0.66937
"280",100,0.663169,0.614703,0.748766,0.454701
"281",100,0.804761,0.71359,0.560072,0.532616
"282",100,0.548767,0.627525,0.658404,0.465713
"283",100,0.562875,0.583262,0.588604,0.692022
"284",100,0.715502,0.474728,0.551755,0.65984
"285",100,0.729459,0.739631,0.598802,0.550873
"286",100,0.766469,0.76345,0.593128,0.533985
"287",100,0.795585,0.589338,0.58866,0.749787
"288",100,0.810253,0.641394,0.62775,0.49714
"289",100,0.740027,0.620004,0.692372,0.623534
"290",100,0.698614,0.655442,0.600283,0.490506
"291",100,0.585445,0.425858,0.785051,0.586102
"292",100,0.526083,0.469066,0.463868,0.655772
"293",100,0.530023,0.462938,0.59808,0.651854
"294",100,0.46086,0.652661,0.633643,0.465605
"295",100,0.685271,0.682084,0.467271,0.529906
"296",100,0.537276,0.602767,0.480534,0.573089
"297",100,0.551662,0.624112,0.434331,0.800387
"298",100,0.556993,0.707898,0.359816,0.630052
"299",100,0.563829,0.542297,0.585932,0.606588
